No.,Isi Tweet,Label
23,Ini Pesan Ahok di Hari Pers Nasional #KitaPastiPernah https:\/\/t.co\/h0L6mrjM3R,Non_HT
24,Istighotsah Bersama Ahok Catut Logo NU https:\/\/t.co\/U2rPY3C25R,Non_HT
25,Itu yang ngomong jangan pilih Ahok Djarot pernah ngerasain banjir ga sih? :(,Non_HT
26,Iya aja deh dripada hoax...,Non_HT
27,Jadi teringat para pelacur.belia yg dijual orang tuanya.sendiri di pantura.demi sesuap nasi https:\/\/t.co\/X5DdR7m693,Non_HT
28,jadi yg nyebar hoax ketahuan dong ada akun twitter nya lho,Non_HT
29,Mpok @sylviana_murni-nya tolong Mas @AgusYudhoyono,Non_HT
30,Ke Bidara beli mangga. Pulang nye liwat Slipi. Jangan lupa ingetin tetangga. Untuk milih Agus sylvi. #7HariLagiMilihAHY #AgusBersamaUlama,Non_HT
31,Serius tapi ada selipan hiburannya \ud83d\ude06\ud83d\ude06\ud83d\ude06 #pilkadadki2017 #DebatFinalPilkadaJKT,Non_HT
32,Sylvie sukses blunder bikin paslon 1 drop elektabilitasnya dengan fitnah dan spin salah pilih kader #DebatFinalPilkadaJKT,Non_HT
33,Ahok: mari berlomba program #DebatFinalPilkadaJKT,Non_HT
34,#DebatFinalPilkadaJKT aduh... Kecewa pertanyaan paslon 1....,Non_HT
35,RT @agusdansylvi: #DebatFinalPilkadaJKT Saya pilih nomor 1. Sektor informal akan dimajukan mas Agus dan Mpok Sylvi.,Non_HT
36,RT @JTmor: Ahok pilihan terbaik untuk Jakarta,Non_HT
37,RT @augustfrankto: #DebatFinalPilkadaJKT Bu Silvy curhat karena pernah dimarahi sama Pak Ahok...hehe..,Non_HT
38,Mantap pak AHOK #DebatFinalPilkadaJKT,Non_HT
39,Ahok gagah kaya gatot kaca! #DebatFinalPilkadaJKT,Non_HT
40,Telaaaakkk nomer satuuuu. Nghahahaha #DebatFinalPilkadaJKT,Non_HT
41,Lomba adu program #DebatFinalPilkadaJKT #SkakSilvi,Non_HT
42,#DebatFinalPilkadaJKT Denger banyak program dan janji dan sering tau pas jadi ga dijalankan rasanya males aja sih.,Non_HT
43,DEBAT CAGUB DKI ke 3 - 10 Februari 2017 - Segmen 3 Mantap Ahok SKAK Sylviana Murni\n\n#DebatFinalPilkadaJKT,Non_HT
44,Pertanyaan Ibu Silvy rada maksa.. #DebatFinalPilkadaJKT,Non_HT
45,"Tanggal 15, pas pilkada nanti sy gak akan milih siapa-siapa ah!",Non_HT
46,"Saya pribadi bakal prefer kok muslim dengan kapabilitas, tetapi lihat kondisinya Ahok menjadi pilihan plg realistis buat kemajuan DKI",Non_HT
47,"Yang mendukung Mas Anies bukan berarti anti Pak Ahok, begitu Pula sebaliknya",Non_HT
48,Spanduk Tolak Salatkan Pembela Penista Agama juga Muncul di Kalibata https:\/\/t.co\/Sr1PbYtigN,Non_HT
49,#DebatFinalPilkadaJKT Telak banget anjir ngakak!,Non_HT
50,Ayo berlomba program jangan fitnah2 #DebatFinalPilkadaJKT,Non_HT
51,RT @deelestari: Akhirnya nggak ngantuk lagi! Yeay! #DebatFinalPilkadaJKT,Non_HT
52,Duh dibilang ga punya program paslon 1... kesian kesian kesian ... #debatfinalpilkadajkt,Non_HT
53,"Tuntut Keadilan Bagi Penista Agama, Puluhan Jawara Betawi Ikuti Aksi 212 Jilid II https:\/\/t.co\/HWVuoZyYov",Non_HT
54,Keras nih ahok #DebatFinalPilkadaJKT,Non_HT
55,Paslon 3 Anies Sandiaga Uno 15 Feb 2017 Utk Jakarta Indonesia Raya OK OCE,Non_HT
56,Sesuai namanya: RONDE FINAL\n\n#DebatFinalPilkadaJKT,Non_HT
57,"Mendagri Tambah Pusing, Ketika MA Emoh Keluarkan Fatwa Status Gubernur Penista Agama https:\/\/t.co\/J34aMQiMNi",Non_HT
58,Tolong adu program,Non_HT
59,Genderang perang makin kencang #DebatFinalPilkadaJKT,Non_HT
60,Mpok sylvi udah mulai emosi \ud83d\ude02\n #DebatFinalPilkadaJKT,Non_HT
61,Some people gabisa bedain kasar sama tegas. #DebatFinalPilkadaJKT,Non_HT
62,Beliau para pemimpin hebat Indonesia! Kita bangga https:\/\/t.co\/NAWbps9Xpt https:\/\/t.co\/5cC2U9AIEv,Non_HT
63,@InformasiDKI mungkin bu silvy jg pengen foto sama pak ahok hihihi #DebatFinalPilkadaJKT,Non_HT
64,#DebatFinalPilkadaJKT Mulai saling serang deh,Non_HT
65,RT @InaKinoy: baca ini dulu lah biar mendinginkan suasana #DebatFinalPilkadaJKT https:\/\/t.co\/Em9GCKc4qe,Non_HT
66,ayo berlomba program jgn pitnah doank.. #DebatFinalPilkadaJKT #BadjaPastimenang,Non_HT
67,RT @qronoz: Pokoknya kalo Ahok udah ngomong: Aduuuuuuh KELAR. #DebatFinalPilkadaJKT,Non_HT
68,Senjata makan tuan #DebatFinalPilkadaJKT #DebatFinalDKI,Non_HT
69,Ahok kekerasan verbal? Masa koruptor dielus2 #DebatFinalPilkadaJKT,Non_HT
70,RT @qronoz: Gak ada program yang mau diserang yang diserang karakternya. AHaY! \ud83d\ude02 #DebatFinalPilkadaJKT,Non_HT
71,Terkait Jakarta tak Ramah anak apa tanggapan Pak @aniesbaswedan https:\/\/t.co\/ufA55UWBcI,Non_HT
72,emang OK OCE anies dan sandi dalam mengatasi urbanisasi dan lapangan kerja #DebatFinalPilkadaJKT https:\/\/t.co\/BrCeCZSkux,Non_HT
73,Suporternya mulai kampungan paslon masih ngomong jg ...... #DebatFinalPilkadaJKT,Non_HT
74,Mulai seru ni #DebatFinalPilkadaJKT,Non_HT
75,#DebatFinalPilkadaJKT nangis nangis ketonjok lagi,Non_HT
76,RT @Kafyonaa: JADI DEBAT TERAKHIR NANTI MALAM PILIHANMU JATUH KE PASLON YANG MANA? #DebatFinalPilkadaJKT #Debat3PilkadaDKI,Non_HT
77,RT @magendajuang: Wkwkwk udah dah pilih Anies Sandi aja :) #DebatFinalPilkadaJKT https:\/\/t.co\/hMXhjyHBnJ,Non_HT
78,fitnah lebih kejam loh dari pembunuhan #DebatFinalPilkadaJKT,Non_HT
79,mari #debatsehat. jangan coba pakai #datasesat. #DebatFinalPilkadaJKT #DebatFinalDiKompasTV,Non_HT
80,"RT @prastow: Apapun itu, keberanian Ahok membongkar mafia anggaran menjadi tonggak penting menuju APBD yg kredibel dan akuntabel.",Non_HT
81,RT @SydSalesman: inilah wujud nasional-is-me dagangannya @pandji ... hebat! https:\/\/t.co\/0fYIG6c2xl,Non_HT
82,Pak dosen makin keliatan aslinya :(,Non_HT
83,RT @gabriellaanDini: Dulu di awal kampanye bukannya uda deklarasi anti SARA??? Tadinya gw pikir no.3 lebih mending dari no.1,Non_HT
84,#DebatFinalPilkadaJKT mateng mpok Silvy di bombardir Pak Ahok... jawaban cerdas Pak Ahok..,Non_HT
85,#DebatFinalPilkadaJKT mohon tenang,Non_HT
86,Yg no.1 nih ngomongin hal yg di luar program mulu ya. Ngga ada bhan ya bwt serang lawan.. Cape dehh! #DebatFinalDKI #DebatFinalPilkadaJKT,Non_HT
87,Cinta pak Ahok pokoknya #DebatFinalPilkadaJKT,Non_HT
88,#DebatFinalPilkadaJKT nggak cuma ibu2 yang pengen foto sama Ahok bapak2 juga lho,Non_HT
89,Mas Agus saya akui malam ini....rambut kamu bagus! #DebatFinalPilkadaJKT,Non_HT
90,RT @republikaonline: Ahok Janji Berani Tutup Tempat Hiburan Malam yang Jual Narkoba,Non_HT
91,Agus-Sylvi sisipkan bahasa jawa saat debat https:\/\/t.co\/fGTfXgaINx,Non_HT
92,"RT @hariadhi: Ahok udah perhatikan penyandang disabilitas, jauuuh sebelum kandidat lain berjanji #NobarAhokDjarot #BadjaPastiJuara",Non_HT
93,Ahok keren!!! #DebatFinalPilkadaJKT,Non_HT
94,Gimana ya Tim Ahok kok makin disudutkan(?) Mungkin karena ini final kali y,Non_HT
95,Nih fakta buat yg asbun. #BadjaPastimenang #DebatFinalPilkadaJKT,Non_HT
96,Siap-siap meme CCTV. #DebatFinalPilkadaJKT #Debat3PilkadaDKI #DebatFinalDKI,Non_HT
97,Nyinyir tingkat nasional #DebatFinalPilkadaJKT,Non_HT
98,Drama bgt itu :(( #DebatFinalPilkadaJKT,Non_HT
99,Ini judulnya Debat atau nyerang paslon 2 ?????? #DebatFinalPilkadaJKT,Non_HT
100,Lha kok menyerang gitu ya #DebatFinalPilkadaJKT,Non_HT
101,Debat sama berantem beda tipis #DebatFinalPilkadaJKT,Non_HT
102,Orang tegas dibilang maki-maki orang -_- #DebatFinalPilkadaJKT,Non_HT
103,1 atau 2 perempuan berbeda dengan kaum perempuan #DebatFinalPilkadaJK,Non_HT
104,mantap OK OCE anies sandi dalam mengatasi urbanisasi dan lapangan kerja,Non_HT
105,RT @WisnuDewobroto: Ga seru nih. selalu mengungkit masa lalu :). kekerasan Verbal semua pernah lakukan manusia biasa. #DebatFinalPilkadaJKT,Non_HT
106,satu perempuan bukan semua perempuan #DebatFinalPilkadaJKT,Non_HT
107,#DebatFinalPilkadaJKT Pertanyaan paslon 1 dpt dikategorikan sbg kekerasan dalam debat.,Non_HT
108,@jokowi pak maafkan saya. Biarkan malam ini saja saya memposting ujaran kebencian. Hanya malam ini saja pak xoxo #DebatFinalPilkadaJKT,Non_HT
109,Semoga Allah memenangkan pak Anies-sandi https:\/\/t.co\/sns0rXRw3f,Non_HT
110,#DebatFinalPilkadaJKT non muslim coblos Ahok muslim coblos Djarot. Bagaimana?,Non_HT
111,#DebatFinalPilkadaJKT *pemimpin harus dapat ciptakan suasana damai tentram dan bukan adu domba atau hasutan,Non_HT
112,Saya bertanya kepada Bapak Presiden dan Kapolri OK OCE tuh apaan? #DebatFinalPilkadaJKT,Non_HT
113,Keliatan banget keberpihakan media #DebatFinalPilkadaJKT,Non_HT
114,RT @di_HatiKecil: Bagus nih ilustrasinya #DebatFinalPilkadaJKT https:\/\/t.co\/zAQLqrBiUF,Non_HT
115,RT @rezaoktovian: Ahok terlalu keren :'),Non_HT
116,isinya timeline twitter cm pilkada.. membosankan sekali..,Non_HT
117,Mohon tenang mohon tenang #DebatFinalPilkadaJKT,Non_HT
118,ah diulang. Jawabannya bisa beda kan? #DebatFinalPilkadaJKT,Non_HT
119,Perasaan bukan pertanyaan itu deh yg td dijawab om @aniesbaswedan audionya ga keluar atau ia ya? #DebatFinalPilkadaJKT,Non_HT
120,Boleh tinggal di pinggir kali meski bukan tanahnya boleh jualan di pinggir jalan,Non_HT
121,RT @rigenz123: Sehatkan Warga DKI Melalui #JakartaBerlari Barulah Pembangunan Dapat Sejahterakan Warganya. #DebatFinalPilkadaJKT,Non_HT
122,kalau kamu diputuskan pacar tanpa sebab mungkin program OKE OCE bisa jadi solusi nya #DebatFinalPilkadaJKT,Non_HT
123,Melibatkan yang paham pada bidangnya untuk duduk bersama memecahkan solusi. Cara kepemimpinan yg cerdas ! #DebatFinalPilkadaJKT,Non_HT
124,Justru laki-laki lah yang sering mengalami kekerasan verbal. Berapa kali dirimu dimarahi istrimu..? Ayo ngaku.,Non_HT
125,RT @TirtoID: Soal gerakan-gerakan ala @aniesbaswedan #PeriksaData #DebatFinalPilkadaJKT,Non_HT
126,Mayoritas warga Jakarta ingin dipimpin Gubernur baru. Emang iya? #DebatFinalPilkadaJKT,Non_HT
127,Paslon 1 selalu nyerang paslon 2 ni #DebatFinalPilkadaJKT,Non_HT
128,RT @JktMajuBersama: Upaya Anies-Sandi untuk mendukung perempuan menjadi pelaku UKM :) #DebatFinalPilkadaJKT,Non_HT
129,Salah satu indikator meningkatnya kualitas hidup warga Jkt adl terus bisa tersenyum seperti Pak Djarot malam ini,Non_HT
130,Tontonan yg wajib ditunggu sehabis #DebatFinalPilkadaJKT,Non_HT
131,"RT @ainouun: Pak Ahok : penyandang disabilitas bukan hanya mereka, suatu saat kita juga bisa jadi. #DebatFinalPilkadaJKT",Non_HT
132,"RT @tribunjateng: Saat Jeda, Ahok dan Djarot Sapa Ganjar Pranowo dari Atas Panggung",Non_HT
133,@Boojaee sayang hyung cuma pencitraan :* wkwk,Non_HT
134,"@kurawa Msh inget sm ibu penjual kue di balaikota, cm Pak Ahok yg tau klo si ibu sakit, ibu itu langsung diurus ke rs. Ini bukan pencitraan.",Non_HT
135,Biar jajan naik sejuta https://t.co/veZ5PXxDfr,Non_HT
136,bio gw belum diganti astagfirullah rusak pencitraan cewe cantik,Non_HT
137,#MataNajwaDebatJakarta Ya ampun udh closing statement msh aja commentnya ky gitu ya,Non_HT
138,Hah uda closing statement?? Cepet bener?? #DebatFinalPilkadaJKT,Non_HT
139,RT @digembok: #DebatFinalPilkadaJKT kali ini keren.Biasanya ada sesi tanya-jawab Kali ini ada SESI CURHAT,Non_HT
140,Ketiga paslon gagal menjawab pertanyaan yang jawabannya harus memuji kebaikan paslon lain,Non_HT
141,Mari berjuang bersama SBYudhoyono utk memenangkan #SaduddinDhani di #PilkadaKabBekasi2017 #BekasiSAH #BekasiBerjaya,Non_HT
142,"Jikapun aparatur bisa dibeli, kyai dan santri oplosan dibeli. Masih ada yng ASLI, siap MELAWAN KETIDAKADILAN https://t.co/riloAH9gAd",Non_HT
143,Pasangan mana yang unggul dalam debat kandidat Gubernur-Wagub DKI Jakarta Malam Ini?,Non_HT
144,"Keberagaman itu datang dr hati terdalam, bukan dr pencitraan #Tetap3 #JKTBeragam",Non_HT
145,"Membangun bangsa dan negara ini engga cukup dengan metoda pencitraan saja ,tanpa teruji lewat rekam jejak dan integritas tokohnya",Non_HT
146,"RT @adelladellaide: Bersikap baik dan menjaga prilaku di depan umum bukan berarti pencitraan, bukan pula ""menjadi orang lain"".",Non_HT
147,"RT @FiersaBesari: Saat jujur, ada yg curiga. Saat berbuat baik, ada yg menuduh pencitraan. Saat bahagia, ada yg iri. Abaikan.",Non_HT
148,"Umat Islam yg peduli agama mrk, tentu tdk akan tergoda dg trik2 konyol seperti ini, InshaAllah umat Islam sdh sadar https://t.co/PFH1MPsKFO",Non_HT
149,"#AniesIntoleran \nAnies Baswedan, tak lagi memiliki integritas dan kredibilitas sebagai seorang pemimpin. https://t.co/rv053Gt4j8",Non_HT
150,@agusriyadi12345 Apakah perlu semua berita ahok harus menggunakan penista agama. Misalnya Penista agama sedang kampanye di Jakarta pusat.,Non_HT
151,"@agusriyadi12345 Apakah tidak sadis, jika semua berita tentang ahok, judulnya diawali degan Terdakwa penista agama bukan menggunakan nama?",Non_HT
152,"@Altefalken kemarin kan ada berita tentang penyakit mengingitis dari Babi, mksd gw apa nyambungnya sama ahok?",Non_HT
153,@ISejunnie @AHMADDHANIPRAST artis korea bisa world tour ahmad dhani bisa ?,Non_HT
154,"@HaqueMarissa ,, ahok di jakarta , daging babi di bali apa hubungan nya ya??",Non_HT
155,"Ahmad Dhani Bangkrut Ditagih Utang Melalui Video, Mantan Istrinya Jadi Janda Kaya Raya: Hampir setahun berlalu, https://t.co/22InRwRR26",Non_HT
156,"Ahmad Dhani Sentil AHOK, eh Sandiaga Uno cengar cengir.!: https://t.co/vhDAAa3ShI melalui @YouTube",Non_HT
157,Hehhee.. Makanya jangan mengagumi sesorng berlebihan.. Kecuali kepada Rasulullah.. https://t.co/ZXVB2DiRMg,Non_HT
158,#MataNajwaDebatJakarta acara uda abis menurut kalian debat sapa yang betul-betul memaparkan prog dan solusi?,Non_HT
159,Mereka (koruptor) meletakkan kitab suci ditempat paling rendah...tapi masih sok jadi pemilik kapling surga... https://t.co/oj5YN3WBeI,Non_HT
160,RT @99Ohhani: Woww dukungan Rakyat Palestina ke Ahok yg dituduhSbg penista Agama ?? mrk Mengelu2kan Ahok !!!Ahok is The Best https://t.co/,Non_HT
161,Pencitraan di socmed itu boleh-boleh aja. Tapi harus bisa tanggung jawab sama citra yang udh dibikin. Jangan sampe jadi malu-maluin. Kasian.,Non_HT
162,RT @kompascom: Kasus Kicauan Ahmad Dhani Dilimpahkan ke Polres Metro Jakarta Selatan. https://t.co/uJ0m7JernN,Non_HT
163,RT @kv_kahfi: Komplit bgt yaaaa..... Heran nya msh aja yg percaya dan idolain dia https://t.co/PNTYRAnaJO,Non_HT
164,RT @m0th3rb04rd__: bagaimana keadilan bisa tercipta jika si penista agama belum di vonis penjara\n #BerjamaahTolakReklamasi,Non_HT
165,"RT @TeddyGusnaidi: Bro.. Kalau yg dimaksud Fatwa Penista agama, MUI gak pernah mengeluarkan Fatwa. https://t.co/x9uXhqJKCa",Non_HT
166,RT @TeddyGusnaidi: Sidang hari ini makin menguatkan bahwa Ahok bukan penista agama.. Ada yang bisa bantah?? \nhttps://t.co/2Ksj4snR1t,Non_HT
167,"Sebut Ahok Bukan Akademisi, Ahmad Dhani: Secara Intelektual, Lebih Intelek Bang Anies https://t.co/YrzfmMV1LG",Non_HT
168,"Yg melakukan Penista Agama sesungguhnya, agama yg suci digunakan alat untuk mengejar jabatan (kekuasaan) https://t.co/hKvZIpm8ZS",Non_HT
169,"Kalah di Pilkada Bekasi, Ahmad Dhani Jadi Juru Kampanye Pasangan Anies-Sandi https://t.co/oIZpN8hYnd #NenengYes https://t.co/FGOhKhXWxt",Non_HT
170,#MataNajwaDebatJakarta Bravo closing statement Anies malam ini.kalau nggak ada debat saya nggak mungkin nonton mata najwa sdh lama tdk suka.,Non_HT
171,"#MataNajwaDebatJakarta jawaban terakhir Anis jadi bikin ingat jawaban dia pas debat kemarin, ""jawaban anda menarik tapi tidak nyambung""",Non_HT
172,"#MataNajwaDebatJakarta buzzer ahok lagi kerja keras nih,.ayo kerja2 tar gajian ga turun",Non_HT
173,#MataNajwaDebatJakarta kerendahan hati dan lawan kerendahan hati kelihatan banget..,Non_HT
174,#MataNajwaDebatJakarta kok gaya pak @aniesbaswedan kayak SBY ya?,Non_HT
175,"#MataNajwaDebatJakarta kenyataannya si anis nyaman bgt dgn isu sara kok , kan nguntungin anis , pura2 sok bijak pdhl menikmati isu sara ,",Non_HT
176,#MataNajwaDebatJakarta nyesel liat debat tidak bermutu cuma bisa mencela..,Non_HT
177,#MataNajwaDebatJakarta.kesimpulan: Saya tdk rela punya Gub seorg Anies dan sy percaya Ahok akan menang. Salam 2 jari.,Non_HT
178,@ibnusungeb ahoker panas dingin ahok kalah debat Sama Anis. #MataNajwaDebatJakarta,Non_HT
179,Ada yg tahu ga backsound penutup mata najwa ini siapa musisinya dan apa judulnya? #MataNajwaDebatJakarta,Non_HT
180,"#MataNajwaDebatJakarta p ahok apapun hanya Utk rakyat, p anies tkt dicurangi... Ngerti bedanya..",Non_HT
181,"@MataNajwa mantapppp Mata Najwa diskusi lebih hidup dan mendidik,,, jauh berkualitas di banding debat yg selenggarakan KPU",Non_HT
182,"@MataNajwa mbak najwa..ayo ""ketengah"" lagi sedikit..jgn terlihat ke kiri, dgn meminta terus pak anies cpt2 menyelesaikan kalimat2nya..",Non_HT
183,"Dan soal soal ribut-ribut pribumi vs non pribumi yang ramai di beranda saya itu, sebenarnya maksudnya apa? ikut...",Non_HT
184,"Sedih liat pak anies saat ini, tokoh yang dulu saya kagumi kenapa jadi seperti ini ;') #MataNajwaDebatJakarta",Non_HT
185,Awal sp akhir @aniesbaswedan bisanya cm serang pribadi @basuki_btp gak ada program yg perlu dibanggakan #MataNajwaDebatJakarta,Non_HT
186,Gimana nih om @pandji pasti ikut gedeg juga kan dengerin retorika ga ada wawasan. Tapi gimana udah terlanjur ya. #matanajwadebatjakarta,Non_HT
187,Haduhhhh Pak Anies.. Terus pendukung anda yang didatengin ke Jakarta itu dari mana pak? Dari luar jakarta kan #MataNajwaDebatJakarta,Non_HT
188,Haha anies pendemo2 dr jawa barat kok ga ngomen. Takut kalah ya haha #MataNajwaDebatJakarta,Non_HT
189,#MataNajwaDebatJakarta pak uno habis 62M istrinya ga marah ya pak? Saya mo beli sepatu 300rb aja istri saya marah2 pak,Non_HT
190,"#MataNajwaDebatJakarta jangan suka menyerang, ini bukan perang,. mengapa ingin ibadah harus menyerang orang..",Non_HT
191,"#MataNajwaDebatJakarta Paslon 3 serang terus dengan membawa2 hal2 yg biasa menyerang, tp Paslon 2 tenang menjawabnya",Non_HT
192,"Aahhh akuh sedih, akuh org depok ternyata ngga boleh ke jakarta pak mANIES jahattttt #MataNajwaDebatJakarta",Non_HT
193,"#MataNajwaDebatJakarta saludd utk mata najwa, berbobot sekali perdebatan malam ini..",Non_HT
194,Jadilah orang yang bertanggung jawab atas segala tindakan anda. dengan demikian anda akan menuai hal yang positif. #SidangAhok,Non_HT
195,"Menurut Anda, apakah #SidangAhok Dugaan Penistaan Agama dgn Terdakwa @basuki_btp murni isyu Pilkada DKI Jakarta atau murni demi Islam???",Non_HT
196,Semua kejujuran akan mendapatkan pahala dari surga. Sabar ya Pak Basuki #FreeAhok https://t.co/NlgbEcj4Jc,Non_HT
197,Jadilah orang yang bertanggung jawab atas segala tindakan anda. dengan demikian anda akan menuai hal yang positif. #SidangAhok,Non_HT
198,"#MataNajwaDebatJakarta terima kasih telah memberikan pendidikan demokrasi pada rakyat Indonesia, khususnya Jakarta.",Non_HT
199,"Keberagaman itu datang dr hati terdalam, bukan dr pencitraan #Tetap3 #JKTBeragam",Non_HT
200,"Membangun bangsa dan negara ini engga cukup dengan metoda pencitraan saja ,tanpa teruji lewat rekam jejak dan integritas tokohnya",Non_HT
201,jangan ada keberpihakan dalam badan hukum karena itu akan merusak demokrasi #important #MataNajwaDebatJakarta,Non_HT
202,"Jika lo bisa menceritakan kembali kalimat2 yg dilontarkan Anies di @MataNajwa dgn bahasa lo sendiri, lo luar biasa. #MataNajwaDebatJakarta",Non_HT
203,"kalau liat sosmed, Pak Ahok menang telak. Namun sayang, hanya kata-kata manis lah yg diserap bbrp warga kecil. #matanajwadebatjakarta",Non_HT
204,Seharusnya mah basuki sudah bebas ya kan? #FreeAhok https://t.co/Mw3k0vYweF,Non_HT
205,"Kenapa debat @MataNajwa ini, Ahok makin keliatan diatas angin ya. Kliatan dia sangat menguasai problem solusi tata kelola Jakarta.",Non_HT
206,Kalau lihat Ahok itu kayak lihat power rangers merah,Non_HT
207,Kesimpulan. Ahok spt biasa fokus detail ke program. Anies terlalu fokus menjatuhkan lawan #MataNajwaDebatJakarta,Non_HT
208,"pertunjukan yang sangat membuat saya serius dan gak mau diganggu, selamat untuk pak @aniesbaswedan buat gagasan nya #MataNajwaDebatJakarta",Non_HT
209,Jangan berpihak...melayani rakyat dengan sepenuh hati..Tuhan yang memberi kekuasaan.. Tuhan yang mengambil..-ahok#MataNajwaDebatJakarta,Non_HT
210,Pak Ahok jangan blunder dong Pak..dari tadi udah bagus. Pertanyaannya komitmen menerima hasil kontestasi. #MataNajwaDebatJakarta,Non_HT
211,jangan ada keberpihakan dalam badan hukum karena itu akan merusak demokrasi #important #MataNajwaDebatJakarta,Non_HT
212,"Jika lo bisa menceritakan kembali kalimat2 yg dilontarkan Anies di @MataNajwa dgn bahasa lo sendiri, lo luar biasa. #MataNajwaDebatJakarta",Non_HT
213,"Kenapa debat @MataNajwa ini, Ahok makin keliatan diatas angin ya. Kliatan dia sangat menguasai problem solusi tata kelola Jakarta.",Non_HT
214,Kiranya Jakarta semakin baik. Selamat berjuang buat Pak Ahok dan Pak Anies ! #MataNajwaDebatJakarta,Non_HT
215,Masihkah Ahoker debat soal program? Jlebb.. KO kena uppercut Anies soal KJP. Pergubnya blm di rubah.. @roemahdjoeang @NetizenTofa @cepot234,Non_HT
216,RT @alysap_: Semua penganut agama harus dapet hak yang sama - Ahok #MataNajwaDebatJakarta,Non_HT
217,"Aku heran kenapa ilklan kampanye #AhokDjarot yg terbaru itu begitu, ini aku loh yang bingung bkn akuang,asiang, atau aming #IklanAhokJahat",Non_HT
218,Abis nyoblos streaming video perkembangan Pilkada 2017 pake #SisaKuotaGakHangus dari @IM3Ooredoo kuota ga habis deh,Non_HT
219,muslim sedang diuji di negara yg mayoritas Islam..semoga kita smua bisa bersabar dan menahan utk tidak berbicara kasar sbg balasan,Non_HT
220,Kiranya Jakarta semakin baik. Selamat berjuang buat Pak Ahok dan Pak Anies ! #MataNajwaDebatJakarta,Non_HT
221,"RT @grcllafrn: Pak Anies, inget, apa yg kau tabur itu yang akan kau tuai nanti... jadi takut sendiri :"") #MataNajwaDebatJakarta",Non_HT
222,RT @kompascom: Bagaimana metode penarikan sampel hitung cepat yg dilakukan Litbang Kompas dlm Pilkada DKI Jakarta 2017? Simak disini,Non_HT
223,"mnding diem aja pak @basuki_btp semua pergerakanmu pasti disalahkan, klo wktunya menang ntar jga menang.... #IklanAhokJahat",Non_HT
